id,changed_company_id,name
292,,Traveller's Tales
293,,TT Games
294,,Telltale Games
295,,Origin Systems
296,,3G Studios
298,,Sierra Northwest
299,,Hellbent Games
300,,Nintendo Creative Department
301,6079.0,2K Czech
302,,Massive Bear Studios
303,,Jaleco
304,,Quicksilver Software
305,,Remedy Entertainment
306,,Rockstar Toronto
307,,Rockstar Vienna
308,,Rockstar Leeds
309,,2015
310,,Ultra Games
311,,Digital Dialect
312,129.0,Konami Computer Entertainment Japan
313,,Success Corporation
314,,4A Games
315,,Trion Worlds
316,,Sierra
317,,Dynamix
318,,Rebellion Developments
319,,n-Space
320,,Kan Navi
321,,Tose
322,,Matrix Software
323,2675.0,Nextech
324,,Square Soft
325,,Saffire
326,,Cyan Worlds
327,,Midway Games
328,,Mean Hamster Software
329,,Cavia
330,,THQ Asia Pacific
331,,Triumph Studios
332,21476.0,EA Black Box
333,,EA Singapore
334,9606.0,Sony Computer Entertainment Europe
335,336.0,Square Product Development Division 3
336,52267.0,Square Enix Product Development Division 3
337,336.0,Square Enix Product Development Division 4
338,,Encore
339,,The Assembly Line
340,,Empire Interactive
341,,Bullet-Proof Software
342,,Yosemite Entertainment
343,,Kronos Digital Entertainment
344,,Macmillan Digital Publishing
345,,Think & Feel
346,26.0,The Game Designers Studio
347,,Criterion Games
348,,Exient Entertainment
349,332.0,Black Box Games
350,,EA Seattle
351,,EA Montreal
352,2053.0,Eden Studios
353,,Pocketeers
354,,DSI Games
355,2192.0,Zoo Digital
356,,Slightly Mad Studios
357,,Firebrand Games
358,,Raster Productions
359,,Hammerhead
360,,Logicware
361,,Hyperion Entertainment
362,,Pi Studios
363,,GRAVITY
364,,Rockstar San Diego
365,,Rockstar North
366,,Epyx
367,428.0,Gray Matter Interactive
368,,Infocom
369,,Chris Sawyer
370,,Péndulo Studios
371,,Dinamic Multimedia
372,,GSC World Publishing
373,,Ascaron Entertainment
374,42785.0,Koch Media
375,,Red Ant Enterprises
376,,Linux Game Publishing
377,,Firaxis Games
378,,Westlake Interactive
379,,Full Fat
380,,Adventure Soft
381,,Headfirst Productions
382,,Silver Style Entertainment
383,,RTL Enterprises
384,,Playlogic Entertainment
385,,Krome Studios
386,,Lucasfilm Animation Singapore
387,1813.0,Sculptured Software
388,,JVC
389,,Universomo
390,,THQ Wireless
391,,Red Fly Studio
392,,High Voltage Software
393,,inXile Entertainment
394,,Nadeo
395,,Sonic Team
396,,Dimps
397,,Darkworks
398,,Ubisoft Shanghai
399,,Longtail Studios
400,10692.0,SCE Japan Studio
401,,Naughty Dog
402,,Day 1 Studios
403,,Sucker Punch Productions
404,,Cyanide Studio
405,,Spiders
406,,Ubisoft Massive
407,,Monolith Productions
408,,TimeGate Studios
409,,(Archive) WB Games - duplicate
410,6.0,Big Blue Box
411,,Robosoft Technologies
412,,Codemasters Southam
413,,Human Head Studios
414,,Croteam
416,,Syfy Games
418,,EA Play
419,,Project Aces
420,,Flying Wild Hog
421,7902.0,Nintendo EAD
422,,Carbine Studios
423,,Deep Silver
425,29376.0,Eurocom Entertainment Software
426,,Disney Interactive Studios
427,,Bugbear Entertainment
428,,Treyarch
429,,Venom Games
430,,(Archive) duplicate company name 1
431,,Ready At Dawn
432,,Beenox
433,,Ubisoft Reflections
434,,High Moon Studios
435,10151.0,Danger Close
436,,ZootFly
437,,Avalanche Studios
438,,Infinity Ward
439,,Sumo Digital
440,,(Archive) SCEE - duplicate
442,,Asobo Studio
443,,Endrant Studios
444,,Radical Entertainment
445,,505 Games
446,,Got Game Entertainment
448,,Vicious Cycle Software
449,,D3 Publisher
450,,Aion Team Development Dept
451,,Terminal Reality
452,,Threewave Software
453,,Zen Studios
454,,EA Sports
455,,Sonalysts
456,,Crack dot Com
457,,Eugen Systems
458,,Funcom
461,,Fox Interactive
463,,(Archive) MS Game Studios - duplicate
465,,U.S. Army
466,,Interactive Magic
467,,Digital Integration
468,,Meridian4
469,753.0,JoWooD Entertainment AG
470,42738.0,Turbine
471,,Pulse Entertainment
472,,Infinite Monkey
474,,Liquid Entertainment
476,8299.0,Matrix Games
478,,Aries Online Games
479,,(Archive) PopCap
481,,Reflexive Entertainment
482,,Revolution Software
483,,Gray Matter
485,,SCi Games
486,,Sports Interactive
487,,3DO
488,,Stick Man Games
