id,name
1,Arabic
2,Chinese (Simplified)
3,Chinese (Traditional)
4,Czech
5,Danish
6,Dutch
7,English
8,English (UK)
9,Spanish (Spain)
10,Spanish (Mexico)
11,Finnish
12,French
13,Hebrew
14,Hungarian
15,Italian
16,Japanese
17,Korean
18,Norwegian
19,Polish
20,Portuguese (Portugal)
21,Portuguese (Brazil)
22,Russian
23,Swedish
24,Turkish
25,Thai
26,Vietnamese
27,German
28,Ukrainian
